table_name,record_id,base_id,card_number,card_name,image_path,image_format,match_type
cards,3697,,BT1-001,Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-001.webp,webp,exact_stem
cards,3697,,BT1-001,Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-001_b.webp,webp,substring_stem
cards,3676,,BT1-002,Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-002.webp,webp,exact_stem
cards,3676,,BT1-002,Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-002_b.webp,webp,substring_stem
cards,3686,,BT1-003,Hit,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-003.webp,webp,exact_stem
cards,3686,,BT1-003,Hit,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-003_b.webp,webp,substring_stem
cards,3714,,BT1-004,Destructive Terror Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-004.webp,webp,exact_stem
cards,3740,,BT1-005,Furthering Destruction Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-005.webp,webp,exact_stem
cards,3740,,BT1-005,Furthering Destruction Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-005_PR.webp,webp,normalized_promo_suffix
cards,3740,,BT1-005,Furthering Destruction Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-005_PR2.webp,webp,normalized_promo_suffix
cards,3740,,BT1-005,Furthering Destruction Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-005_PR3.webp,webp,normalized_promo_suffix
cards,3740,,BT1-005,Furthering Destruction Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-005_PR4.webp,webp,normalized_promo_suffix
cards,3746,,BT1-006,Scheming Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-006.webp,webp,exact_stem
cards,3731,,BT1-007,Manipulating God Champa,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-007.webp,webp,exact_stem
cards,3736,,BT1-008,Bewitching God Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-008.webp,webp,exact_stem
cards,3736,,BT1-008,Bewitching God Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-008_PR.webp,webp,normalized_promo_suffix
cards,3741,,BT1-009,Calm-Hearted Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-009.webp,webp,exact_stem
cards,6915,,BT1-010,Divine Aide Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-010.webp,webp,exact_stem
cards,6915,,BT1-010,Divine Aide Vados,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-010_PR.webp,webp,normalized_promo_suffix
cards,3711,,BT1-011,Lightning-fast Hit,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-011.webp,webp,exact_stem
cards,3711,,BT1-011,Lightning-fast Hit,F:\Dragon-Ball-Masters-Arena-main\Dragon-Ball-Masters-Arena-main\assets\BT1\BT1-011_PR.webp,webp,normalized_promo_suffix
